OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
083	12	L_GX013085.MP4	77689	GX010109.MP4	77525	43.20372	1	40.41426	577.57893	793.66000	-1918.30429	2.93029	4.04781	9.30550	1.81454	2154.85150	26.85814	Monacanthidae	Meuschenia	flavolineata	37465035	2	AD	Passing			
084	0	L_GX012840.MP4	1842	GX010108.MP4	1570	1.02436		-1.00000																	SYNC		
085	0	L_GX012841.MP4	1393	GX010109.MP4	1203	0.77466		-1.00000																	SYNC		
087	0	L_GX010107.MP4	103	GX010108.MP4	212	0.05728		-1.00000																	SYNC		
088	0	L_GX012842.MP4	194	GX013210.MP4	373	0.10789		-1.00000																	SYNC		
089	0	L_GX013146.MP4	397	GX010109.MP4	153	0.22078		-1.00000																	SYNC		
090	0	L_GX012841.MP4	2314	GX012841.MP4	2094	1.28684		-1.00000	55.91203	26.75765	-875.46439	0.56534	0.54218	1.97501	1.21812	877.65599	4.16610								SYNC		
091	0	GX012842.MP4	193	GX012842 (2).MP4	77	0.10733		-1.00000	11.92226	29.85756	-1060.64621	0.66452	0.65389	2.86139	4.11904	1061.13336	1.97482								SYNC		
092	0	GX013147.MP4	199	R_GX010110.MP4	73	0.11067		-1.00000																	SYNC		
093	0	GX012843.MP4	231	GX013211.MP4	105	0.12846		-1.00000																	SYNC		
094	0	L_GX012839.MP4	245	GX010109.MP4	101	0.13625		-1.00000																	SYNC		
095	0	GX013087.MP4	697	GX012839.MP4	114	0.38761		-1.00000																	SYNC		
096	0	L_GX012842.MP4	498	GX010110.MP4	342	0.27694		-1.00000																	SYNC		
097	0	L_GX012843.MP4	427	GX010111.MP4	96	0.23746		-1.00000																	SYNC		
098	0	GX013088.MP4	388	GX012840.MP4	254	0.21577		-1.00000	31.10537	48.01865	-912.12798	0.58180	0.57574	2.14882	5.46420	913.92056	3.34317								SYNC		
099	0	L_GX012840.MP4	268	GX010110.MP4	153	0.14904		-1.00000	41.11603	39.38407	-986.60216	0.62570	0.61317	2.49956	0.30811	988.24363	3.31195								SYNC		
100	0	L_GX012844.MP4	275	GX013212.MP4	93	0.15293		-1.00000																	SYNC		
101	0	GX013148.MP4	243	R_GX010111.MP4	87	0.13514		-1.00000																	SYNC		
102	0	GX012843.MP4	4379	GX012843 (2).MP4	4457	2.43521		-1.00000																	SYNC		
103	0	GX012844.MP4	1481	GX012844 (2).MP4	1302	0.82360		-1.00000																	SYNC		
104	0	GX013149.MP4	969	R_GX010112.MP4	1563	0.53887		-1.00000	40.48720	27.89781	-860.62006	0.55238	0.53347	1.99020	0.71450	862.02343	3.41931								SYNC		
105	0	L_GX012845.MP4	270	GX013213.MP4	114	0.15015		-1.00000																	SYNC		
106	0	L_GX012841.MP4	323	GX010111.MP4	177	0.17962		-1.00000																	SYNC		
107	0	GX013089.MP4	258	GX012841.MP4	168	0.14348		-1.00000	48.21469	74.65351	-915.66089	0.58899	0.59396	2.16413	9.34851	919.96341	5.29581								SYNC		
107	2	GX013089.MP4	28066	GX012841.MP4	27976	15.60781	1	11.67666	690.39653	81.77046	-1914.32282	3.41052	1.24696	9.29970	3.07396	2036.65550	19.92652	Myliobatidae	Myliobatis	tenuicaudatus	37039001	1	AD	Passing			
107	4	GX013089.MP4	37689	GX012841.MP4	37599	20.95927	1	17.02812	93.34765	121.62422	-1608.77937	1.05084	1.10890	6.48892	2.21553	1616.06847	5.21080	Arripidae	Arripis	georgianus	37344001	4	AD	Passing			
107	5	GX013089.MP4	50592	GX012841.MP4	50502	28.13477	1	24.20362	-345.75717	-39.88401	-617.33354	0.64762	0.40052	1.06279	0.74299	708.68855	29.44959	Monacanthidae	Scobinichthys	granulatus	37465007	1	AD	Passing			
107	9	GX013089.MP4	92086	GX012841.MP4	91996	51.21005	1	47.27890	-740.25133	-249.50271	-2710.55848	5.30384	2.33743	18.99341	5.60543	2820.87768	16.17420	Terapontidae	Pelsartia	humeralis	37321021	2	AD	Passing			
107	10	GX013089.MP4	106736	GX012841.MP4	106646	59.35708	1	55.42593	-818.32758	134.55230	-1060.97116	2.31502	0.79349	3.07475	10.67345	1346.63438	37.96587	Monacanthidae	Eubalichthys	mosaicus	37465003	1	AD	Passing			
108	0	L_GX012844.MP4	228	GX010112.MP4	106	0.12679		-1.00000																	SYNC		
